size,d,k,time,complexity factor,file size
1000,12,4,24.640,-7.49E-06,0.116
10000,12,4,25.826,1.72E-06,1.161
100000,12,4,25.806,167.90E-09,10.867
500000,12,4,27.711,112.95E-09,53.906
1000000,12,4,29.856,101.16E-09,107.704
2000000,12,4,30.643,117.56E-09,215.300
3000000,12,4,32.686,160.12E-09,322.902
4000000,12,4,32.169,112.01E-09,430.494
5000000,12,4,37.289,153.61E-09,538.094
7500000,12,4,44.795,164.96E-09,807.091
