size,d,k,time,complexity factor,file size
1000,6,8,29.687,-6.51E-06,0.058
10000,6,8,30.998,2.08E-06,0.581
100000,6,8,31.200,250.10E-09,5.433
500000,6,8,32.972,123.81E-09,26.952
1000000,6,8,34.411,91.90E-09,53.850
2000000,6,8,38.086,84.23E-09,107.649
3000000,6,8,38.689,120.68E-09,161.448
4000000,6,8,40.136,105.58E-09,215.249
5000000,6,8,38.433,105.41E-09,269.049
7500000,6,8,40.840,90.34E-09,403.543
10000000,6,8,45.985,99.91E-09,538.040
