size,time
1000,149.4
10000,185.516666666667
100000,288.216666666667
500000,588.003333333333
1000000,158.816666666667
2000000,168.94
3000000,474.033333333333
4000000,665.92
5000000,332.85
10000000,819.376666666667
20000000,967.47

