size,d,k,time,complexity factor,file size
1000,6,4,24.624,-15.63E-06,0.058
10000,6,4,25.596,2.48E-06,0.582
100000,6,4,25.689,287.17E-09,5.452
500000,6,4,27.031,169.25E-09,27.047
1000000,6,4,28.661,152.55E-09,54.041
2000000,6,4,31.355,132.39E-09,108.030
3000000,6,4,32.019,194.96E-09,162.016
4000000,6,4,31.526,135.96E-09,216.001
5000000,6,4,31.924,173.11E-09,269.991
7500000,6,4,34.081,201.79E-09,404.959
