size,d,k,time,complexity factor,file size
1000,3,8,29.848,-6.32E-06,0.029
10000,3,8,31.090,4.54E-06,0.291
100000,3,8,31.594,664.10E-09,2.726
500000,3,8,32.400,200.03E-09,13.524
1000000,3,8,33.657,152.39E-09,27.020
2000000,3,8,36.538,136.20E-09,54.012
3000000,3,8,39.173,127.41E-09,81.009
4000000,3,8,40.590,110.31E-09,107.999
5000000,3,8,42.342,205.70E-09,134.994
7500000,3,8,43.536,150.40E-09,202.479
10000000,3,8,45.270,190.87E-09,269.961
