size,d,k,time,complexity factor,file size
1000,6,16,40.205,2.13E-06,0.058
10000,6,16,39.853,-152.73E-09,0.578
100000,6,16,39.384,-64.13E-09,5.403
500000,6,16,41.629,33.94E-09,26.798
1000000,6,16,43.341,34.81E-09,53.544
2000000,6,16,48.582,44.70E-09,107.038
3000000,6,16,46.887,47.83E-09,160.527
4000000,6,16,49.327,48.58E-09,214.020
5000000,6,16,51.850,74.06E-09,267.509
7500000,6,16,53.503,56.26E-09,401.244
10000000,6,16,60.250,63.28E-09,534.974
