size,d,k,time,complexity factor,file size
1000,12,16,39.021,-5.09E-06,0.115
10000,12,16,39.671,-171.14E-09,1.152
100000,12,16,39.594,-21.14E-09,10.773
500000,12,16,42.955,30.78E-09,53.433
1000000,12,16,45.062,26.36E-09,106.758
2000000,12,16,45.997,31.23E-09,213.413
3000000,12,16,50.266,53.47E-09,320.067
4000000,12,16,49.129,35.66E-09,426.720
5000000,12,16,54.415,45.05E-09,533.369
7500000,12,16,64.575,51.20E-09,800.002
