size,d,k,time,complexity factor,file size
1000,12,8,29.959,-431.58E-09,0.116
10000,12,8,31.611,1.68E-06,1.155
100000,12,8,32.008,209.21E-09,10.806
500000,12,8,33.949,82.27E-09,53.598
1000000,12,8,36.176,64.33E-09,107.092
2000000,12,8,37.321,76.26E-09,214.074
3000000,12,8,37.866,81.94E-09,321.058
4000000,12,8,38.077,63.10E-09,428.044
5000000,12,8,42.369,77.30E-09,535.027
7500000,12,8,53.664,98.60E-09,802.481
