size,d,k,time,complexity factor,file size
1000,3,4,24.821,-14.89E-06,0.029
10000,3,4,25.429,3.57E-06,0.285
100000,3,4,25.743,619.18E-09,2.666
500000,3,4,26.797,299.53E-09,13.222
1000000,3,4,27.889,240.73E-09,26.417
2000000,3,4,29.824,201.00E-09,52.806
3000000,3,4,32.212,200.34E-09,79.196
4000000,3,4,33.382,174.62E-09,105.587
5000000,3,4,34.888,329.59E-09,131.974
7500000,3,4,33.334,185.21E-09,197.953
